step:526/1555 train_time:17966ms step_avg:34.16ms
step:527/1555 train_time:18028ms step_avg:34.21ms
step:528/1555 train_time:18084ms step_avg:34.25ms
step:529/1555 train_time:18145ms step_avg:34.30ms
step:530/1555 train_time:18203ms step_avg:34.35ms
step:531/1555 train_time:18264ms step_avg:34.40ms
step:532/1555 train_time:18321ms step_avg:34.44ms
step:533/1555 train_time:18377ms step_avg:34.48ms
step:534/1555 train_time:18433ms step_avg:34.52ms
step:535/1555 train_time:18495ms step_avg:34.57ms
step:536/1555 train_time:18555ms step_avg:34.62ms
step:537/1555 train_time:18618ms step_avg:34.67ms
step:538/1555 train_time:18677ms step_avg:34.72ms
step:539/1555 train_time:18738ms step_avg:34.76ms
step:540/1555 train_time:18798ms step_avg:34.81ms
step:541/1555 train_time:18861ms step_avg:34.86ms
step:542/1555 train_time:18915ms step_avg:34.90ms
step:543/1555 train_time:18980ms step_avg:34.95ms
step:544/1555 train_time:19037ms step_avg:35.00ms
step:545/1555 train_time:19096ms step_avg:35.04ms
step:546/1555 train_time:19153ms step_avg:35.08ms
step:547/1555 train_time:19215ms step_avg:35.13ms
step:548/1555 train_time:19273ms step_avg:35.17ms
step:549/1555 train_time:19331ms step_avg:35.21ms
step:550/1555 train_time:19390ms step_avg:35.26ms
step:551/1555 train_time:19446ms step_avg:35.29ms
step:552/1555 train_time:19506ms step_avg:35.34ms
step:553/1555 train_time:19565ms step_avg:35.38ms
step:554/1555 train_time:19622ms step_avg:35.42ms
step:555/1555 train_time:19683ms step_avg:35.47ms
step:556/1555 train_time:19742ms step_avg:35.51ms
step:557/1555 train_time:19803ms step_avg:35.55ms
step:558/1555 train_time:19862ms step_avg:35.60ms
step:559/1555 train_time:19922ms step_avg:35.64ms
step:560/1555 train_time:19979ms step_avg:35.68ms
step:561/1555 train_time:20042ms step_avg:35.73ms
step:562/1555 train_time:20097ms step_avg:35.76ms
step:563/1555 train_time:20160ms step_avg:35.81ms
step:564/1555 train_time:20218ms step_avg:35.85ms
step:565/1555 train_time:20279ms step_avg:35.89ms
step:566/1555 train_time:20336ms step_avg:35.93ms
step:567/1555 train_time:20397ms step_avg:35.97ms
step:568/1555 train_time:20456ms step_avg:36.01ms
step:569/1555 train_time:20524ms step_avg:36.07ms
step:570/1555 train_time:20579ms step_avg:36.10ms
step:571/1555 train_time:20638ms step_avg:36.14ms
step:572/1555 train_time:20696ms step_avg:36.18ms
step:573/1555 train_time:20754ms step_avg:36.22ms
step:574/1555 train_time:20813ms step_avg:36.26ms
step:575/1555 train_time:20876ms step_avg:36.31ms
step:576/1555 train_time:20940ms step_avg:36.35ms
step:577/1555 train_time:20994ms step_avg:36.38ms
step:578/1555 train_time:21053ms step_avg:36.42ms
step:579/1555 train_time:21109ms step_avg:36.46ms
step:580/1555 train_time:21170ms step_avg:36.50ms
step:581/1555 train_time:21227ms step_avg:36.54ms
step:582/1555 train_time:21286ms step_avg:36.57ms
step:583/1555 train_time:21346ms step_avg:36.61ms
step:584/1555 train_time:21406ms step_avg:36.65ms
step:585/1555 train_time:21465ms step_avg:36.69ms
step:586/1555 train_time:21522ms step_avg:36.73ms
step:587/1555 train_time:21583ms step_avg:36.77ms
step:588/1555 train_time:21640ms step_avg:36.80ms
step:589/1555 train_time:21702ms step_avg:36.84ms
step:590/1555 train_time:21759ms step_avg:36.88ms
step:591/1555 train_time:21821ms step_avg:36.92ms
step:592/1555 train_time:21880ms step_avg:36.96ms
step:593/1555 train_time:21942ms step_avg:37.00ms
step:594/1555 train_time:21998ms step_avg:37.03ms
step:595/1555 train_time:22060ms step_avg:37.08ms
step:596/1555 train_time:22116ms step_avg:37.11ms
step:597/1555 train_time:22180ms step_avg:37.15ms
step:598/1555 train_time:22234ms step_avg:37.18ms
step:599/1555 train_time:22295ms step_avg:37.22ms
step:600/1555 train_time:22357ms step_avg:37.26ms
step:601/1555 train_time:22419ms step_avg:37.30ms
step:602/1555 train_time:22474ms step_avg:37.33ms
step:603/1555 train_time:22536ms step_avg:37.37ms
step:604/1555 train_time:22594ms step_avg:37.41ms
step:605/1555 train_time:22651ms step_avg:37.44ms
step:606/1555 train_time:22711ms step_avg:37.48ms
step:607/1555 train_time:22769ms step_avg:37.51ms
step:608/1555 train_time:22827ms step_avg:37.55ms
step:609/1555 train_time:22886ms step_avg:37.58ms
step:610/1555 train_time:22944ms step_avg:37.61ms
step:611/1555 train_time:23005ms step_avg:37.65ms
step:612/1555 train_time:23062ms step_avg:37.68ms
step:613/1555 train_time:23121ms step_avg:37.72ms
step:614/1555 train_time:23183ms step_avg:37.76ms
step:615/1555 train_time:23242ms step_avg:37.79ms
step:616/1555 train_time:23303ms step_avg:37.83ms
step:617/1555 train_time:23363ms step_avg:37.86ms
step:618/1555 train_time:23419ms step_avg:37.89ms
step:619/1555 train_time:23478ms step_avg:37.93ms
step:620/1555 train_time:23540ms step_avg:37.97ms
step:621/1555 train_time:23599ms step_avg:38.00ms
step:622/1555 train_time:23658ms step_avg:38.04ms
step:623/1555 train_time:23718ms step_avg:38.07ms
step:624/1555 train_time:23774ms step_avg:38.10ms
step:625/1555 train_time:23838ms step_avg:38.14ms
step:626/1555 train_time:23895ms step_avg:38.17ms
step:627/1555 train_time:23955ms step_avg:38.21ms
step:628/1555 train_time:24014ms step_avg:38.24ms
step:629/1555 train_time:24075ms step_avg:38.28ms
step:630/1555 train_time:24131ms step_avg:38.30ms
step:631/1555 train_time:24196ms step_avg:38.35ms
step:632/1555 train_time:24249ms step_avg:38.37ms
step:633/1555 train_time:24312ms step_avg:38.41ms
step:634/1555 train_time:24370ms step_avg:38.44ms
step:635/1555 train_time:24428ms step_avg:38.47ms
step:636/1555 train_time:24487ms step_avg:38.50ms
step:637/1555 train_time:24547ms step_avg:38.54ms
step:638/1555 train_time:24610ms step_avg:38.57ms
step:639/1555 train_time:24665ms step_avg:38.60ms
step:640/1555 train_time:24722ms step_avg:38.63ms
step:641/1555 train_time:24784ms step_avg:38.66ms
step:642/1555 train_time:24842ms step_avg:38.69ms
step:643/1555 train_time:24902ms step_avg:38.73ms
step:644/1555 train_time:24962ms step_avg:38.76ms
step:645/1555 train_time:25020ms step_avg:38.79ms
step:646/1555 train_time:25076ms step_avg:38.82ms
step:647/1555 train_time:25140ms step_avg:38.86ms
step:648/1555 train_time:25200ms step_avg:38.89ms
step:649/1555 train_time:25259ms step_avg:38.92ms
step:650/1555 train_time:25316ms step_avg:38.95ms
step:651/1555 train_time:25376ms step_avg:38.98ms
step:652/1555 train_time:25434ms step_avg:39.01ms
step:653/1555 train_time:25498ms step_avg:39.05ms
step:654/1555 train_time:25555ms step_avg:39.07ms
step:655/1555 train_time:25615ms step_avg:39.11ms
step:656/1555 train_time:25674ms step_avg:39.14ms
step:657/1555 train_time:25733ms step_avg:39.17ms
step:658/1555 train_time:25788ms step_avg:39.19ms
step:659/1555 train_time:25853ms step_avg:39.23ms
